Signal_Date,Social_Media_Index,Search_Trends,Pricing_Index
2024-01-01,82.20317747693439,64.58177764228576,14.056785797500837
2024-01-02,31.25779987804095,27.39241517500376,14.198361421995177
2024-01-03,46.924249145706995,58.9862033091595,89.86634189780811
2024-01-04,80.08441612881633,44.20717688337735,40.32416189494239
2024-01-05,86.67081734048901,54.36819961640721,46.63172945402106
2024-01-06,82.29879943392868,45.968622902401115,65.09179743211064
2024-01-07,5.569112037362645,70.1435697219223,57.43215919009608
2024-01-08,69.80624129729668,56.44133255342763,46.63014812152869
2024-01-09,72.20643615107137,43.13528520333445,60.06017100097337
2024-01-10,43.94815138239343,26.003338549263766,98.49987183434715
